honorific_title,first_name,last_name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
,Lindsay,Mathyssen,Woman,lindsaymathyssen.bsky.social,https://bsky.app/profile/lindsaymathyssen.bsky.social,Active,NDP,London—Fanshawe,Ontario
,Bryan,May,Man,bryanmaymp.bsky.social,https://bsky.app/profile/bryanmaymp.bsky.social,Inactive,Liberal,Cambridge,Ontario
,Elizabeth,May,Woman,elizabethemay.bsky.social,https://bsky.app/profile/elizabethemay.bsky.social,Active,Green Party,Saanich—Gulf Islands,British Columbia
,Dan,Mazier,Man,,,,Conservative,Dauphin—Swan River—Neepawa,Manitoba
,Kelly,McCauley,Man,,,,Conservative,Edmonton West,Alberta
,Ken,McDonald,Man,,,,Liberal,Avalon,Newfoundland and Labrador
Hon.,David,McGuinty,Man,,,,Liberal,Ottawa South,Ontario
Hon.,John,McKay,Man,,,,Liberal,Scarborough—Guildwood,Ontario
,Ron,McKinnon,Man,ronmckinnon.bsky.social,https://bsky.app/profile/ronmckinnon.bsky.social,Inactive,Liberal,Coquitlam—Port Coquitlam,British Columbia
,Greg,McLean,Man,gregmcleanyyc.bsky.social,https://bsky.app/profile/gregmcleanyyc.bsky.social,Active,Conservative,Calgary Centre,Alberta
,Michael,McLeod,Man,,,,Liberal,Northwest Territories,Northwest Territories
,Heather,McPherson,Woman,heathermcpherson.bsky.social,https://bsky.app/profile/heathermcpherson.bsky.social ,Active,NDP,Edmonton Strathcona,Alberta
,Eric,Melillo,Man,,,,Conservative,Kenora,Ontario
,Alexandra,Mendès,Woman,alexandramendes.bsky.social,https://bsky.app/profile/alexandramendes.bsky.social,Active,Liberal,Brossard—Saint-Lambert,Quebec
Hon.,Marco,Mendicino,Man,marcomendicino.bsky.social,https://bsky.app/profile/marcomendicino.bsky.social,Inactive,Liberal,Eglinton—Lawrence,Ontario
,Wilson,Miao,Man,,,,Liberal,Richmond Centre,British Columbia
,Kristina,Michaud,Woman,kristinamichaud.bsky.social,https://bsky.app/profile/kristinamichaud.bsky.social,Active,Bloc Québécois,Avignon—La Mitis—Matane—Matapédia,Quebec
Hon.,Marc,Miller,Man,marcmillermp.bsky.social,https://bsky.app/profile/marcmillermp.bsky.social,Active,Liberal,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec
Hon.,Rob,Moore,Man,,,,Conservative,Fundy Royal,New Brunswick
,Marty,Morantz,Man,,,,Conservative,Charleswood—St. James—Assiniboia—Headingley,Manitoba
,Mike,Morrice,Man,morricemike.bsky.social,https://bsky.app/profile/morricemike.bsky.social,Active,Green Party,Kitchener Centre,Ontario
,Rob,Morrison,Man,,,,Conservative,Kootenay—Columbia,British Columbia
,Robert,Morrissey,Man,,,,Liberal,Egmont,Prince Edward Island
,Glen,Motz,Man,,,,Conservative,Medicine Hat—Cardston—Warner,Alberta
Hon.,Joyce,Murray,Woman,,,,Liberal,Vancouver Quadra,British Columbia
,Dan,Muys,Man,,,,Conservative,Flamborough—Glanbrook,Ontario
,Yasir,Naqvi,Man,yasirnaqvicdn.bsky.social,https://bsky.app/profile/yasirnaqvicdn.bsky.social,Inactive,Liberal,Ottawa Centre,Ontario
,John,Nater,Man,,,,Conservative,Perth—Wellington,Ontario
Hon.,Mary,Ng,Woman,maryng.bsky.social,https://bsky.app/profile/maryng.bsky.social,Inactive,Liberal,Markham—Thornhill,Ontario
,Taleeb,Noormohamed,Man,taleeb.bsky.social,https://bsky.app/profile/taleeb.bsky.social,Active,Liberal,Vancouver Granville,British Columbia
,Christine,Normandin,Woman,,,,Bloc Québécois,Saint-Jean,Quebec
,Jennifer,O'Connell,Woman,,,,Liberal,Pickering—Uxbridge,Ontario
Hon.,Seamus,O'Regan,Man,,,,Liberal,St. John's South—Mount Pearl,Newfoundland and Labrador
Hon.,Robert,Oliphant,Man,roboliphant.bsky.social,https://bsky.app/profile/roboliphant.bsky.social,Active,Liberal,Don Valley West,Ontario
,Jeremy,Patzer,Man,,,,Conservative,Cypress Hills—Grasslands,Saskatchewan
,Pierre,Paul-Hus,Man,pierrepaul-hus.bsky.social,https://bsky.app/profile/pierrepaul-hus.bsky.social,Active,Conservative,Charlesbourg—Haute-Saint-Charles,Quebec
,Monique,Pauzé,Woman,,,,Bloc Québécois,Repentigny,Quebec
,Rick,Perkins,Man,,,,Conservative,South Shore—St. Margarets,Nova Scotia
,Yves,Perron,Man,,,,Bloc Québécois,Berthier—Maskinongé,Quebec
Hon.,Ginette,Petitpas Taylor,Woman,,,,Liberal,Moncton—Riverview—Dieppe,New Brunswick
,Louis,Plamondon,Man,,,,Bloc Québécois,Bécancour—Nicolet—Saurel,Quebec
Hon.,Pierre,Poilievre,Man,,,,Conservative,Carleton,Ontario
,Marcus,Powlowski,Man,,,,Liberal,Thunder Bay—Rainy River,Ontario
Hon.,Carla,Qualtrough,Woman,,,,Liberal,Delta,British Columbia
,Alain,Rayes,Man,alainrayes.bsky.social,https://bsky.app/profile/alainrayes.bsky.social,Active,Independent,Richmond—Arthabaska,Quebec
,Brad,Redekopp,Man,,,,Conservative,Saskatoon West,Saskatchewan
