honorific_title,name,constituency,province_territory,political_affiliation,gender,username,profile_URL,verified
NA,Dominique O'Rourke,Guelph,Ontario,Liberal,Woman,orourkeguelph.bsky.social,https://bsky.app/profile/orourkeguelph.bsky.social,No
Hon.,Robert Oliphant,Don Valley West,Ontario,Liberal,Man,roboliphant.bsky.social,https://bsky.app/profile/roboliphant.bsky.social,No
Hon.,Eleanor Olszewski,Edmonton Centre,Alberta,Liberal,Woman,eleanorolszewski.bsky.social,https://bsky.app/profile/eleanorolszewski.bsky.social,No
NA,Tom Osborne,Cape Spear,Newfoundland and Labrador,Liberal,Man,tomosborneca.bsky.social,https://bsky.app/profile/tomosborneca.bsky.social,No
NA,Pierre Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,Man,pierrepaul-hus.bsky.social,https://bsky.app/profile/pierrepaul-hus.bsky.social,No
Hon.,Ginette Petitpas Taylor,Moncton—Dieppe,New Brunswick,Liberal,Woman,ginettept.bsky.social,https://bsky.app/profile/ginettept.bsky.social,No
Hon.,Nathalie Provost,Châteauguay—Les Jardins-de-Napierville,Quebec,Liberal,Man,nathalieprovost.bsky.social,https://bsky.app/profile/nathalieprovost.bsky.social,No
NA,Aslam Rana,Hamilton Centre,Ontario,Liberal,Man,aslamrana.bsky.social,https://bsky.app/profile/aslamrana.bsky.social,No
Hon.,Michelle Rempel Garner,Calgary Nose Hill,Alberta,Conservative,Woman,michellegarner.bsky.social,https://bsky.app/profile/michellegarner.bsky.social,No
Hon.,Gregor Robertson,Vancouver Fraserview—South Burnaby,British Columbia,Liberal,Man,gregorrobertson.bsky.social,https://bsky.app/profile/gregorrobertson.bsky.social,No
NA,Sherry Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,Woman,sherryromanado.bsky.social,https://bsky.app/profile/sherryromanado.bsky.social,No
NA,Zoe Royer,Port Moody—Coquitlam,British Columbia,Liberal,Woman,zoeroyer.bsky.social,https://bsky.app/profile/zoeroyer.bsky.social,No
Hon.,Judy Sgro,Humber River—Black Creek,Ontario,Liberal,Woman,honjudysgro.bsky.social,https://bsky.app/profile/honjudysgro.bsky.social,No
Hon.,Maninder Sidhu,Brampton East,Ontario,Liberal,Man,manindersidhu.bsky.social,https://bsky.app/profile/manindersidhu.bsky.social,No
Hon.,Evan Solomon,Toronto Centre,Ontario,Liberal,Man,evansolomon.bsky.social,https://bsky.app/profile/evansolomon.bsky.social,No
NA,Eric St-Pierre,Honoré-Mercier,Quebec,Liberal,Man,ericstpierre.bsky.social,https://bsky.app/profile/ericstpierre.bsky.social,No
Hon.,Jenna Sudds,Kanata,Ontario,Liberal,Woman,jennasudds.bsky.social,https://bsky.app/profile/jennasudds.bsky.social,No
NA,Kristina Tesser Derksen,Milton East—Halton Hills South,Ontario,Liberal,Woman,kristinatesser.bsky.social,https://bsky.app/profile/kristinatesser.bsky.social,No
Hon.,Joanne Thompson,St. John's East,Newfoundland and Labrador,Liberal,Woman,joannethompsonnl.bsky.social,https://bsky.app/profile/joannethompsonnl.bsky.social,No
NA,Ryan Turnbull,Whitby,Ontario,Liberal,Man,turnbullwhitby.bsky.social,https://bsky.app/profile/turnbullwhitby.bsky.social,No
Hon.,Rechie Valdez,Mississauga—Streetsville,Ontario,Liberal,Woman,rechievaldez.bsky.social,https://bsky.app/profile/rechievaldez.bsky.social,No
Hon.,Adam van Koeverden,Burlington North—Milton West,Ontario,Liberal,Man,avankoeverden.bsky.social,https://bsky.app/profile/avankoeverden.bsky.social,No
NA,Anita Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,Woman,anitavandenbeld.bsky.social,https://bsky.app/profile/anitavandenbeld.bsky.social,No
NA,Louis Villeneuve,Brome—Missisquoi,Quebec,Liberal,Man,louis-villeneuve.bsky.social,https://bsky.app/profile/louis-villeneuve.bsky.social,No
NA,Patrick Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,Man,patrickbweiler.bsky.social,https://bsky.app/profile/patrickbweiler.bsky.social,No
NA,Jean Yip,Scarborough—Agincourt,Ontario,Liberal,Woman,jeanyip3.bsky.social,https://bsky.app/profile/jeanyip3.bsky.social,No
